-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/02/1981 through 02/01/2024 
Location: Latitude  36.7529   Longitude 3.042 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 44.61 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,MO,DY,T2M_MAX,T2M_MIN
1981,1,2,13.53,12.27
1981,1,3,13.92,11.62
1981,1,4,14.8,12.06
1981,1,5,14.05,11.97
1981,1,6,14.33,11.57
1981,1,7,13.51,11.16
1981,1,8,11.12,9.81
1981,1,9,11.6,9.02
1981,1,10,13.19,9.51
1981,1,11,14.31,10.15
1981,1,12,10.12,9.05
1981,1,13,10.13,8.88
1981,1,14,10.94,9.32
1981,1,15,13.98,11.06
1981,1,16,14.35,12.95
1981,1,17,14.86,12.36
1981,1,18,13.76,12.17
1981,1,19,14.15,12.04
1981,1,20,14.89,12.1
1981,1,21,14.44,11.41
1981,1,22,12.27,11.44
1981,1,23,12.94,11.32
1981,1,24,12.09,10.63
1981,1,25,13.78,9.67
1981,1,26,14.16,10.13
1981,1,27,13.23,11.08
1981,1,28,13.16,11.14
1981,1,29,12.23,9.97
1981,1,30,11.58,9.62
1981,1,31,12.01,10.11
1981,2,1,12.19,10.92
1981,2,2,12.11,10.47
1981,2,3,11.99,10.22
1981,2,4,15.08,10.08
1981,2,5,14.19,12.26
1981,2,6,14.05,12.14
1981,2,7,13.73,11.78
1981,2,8,15.19,10.62
1981,2,9,15.22,11.66
1981,2,10,16.06,12.4
1981,2,11,14.13,12.04
1981,2,12,13.34,11.02
1981,2,13,13.65,11.81
1981,2,14,13.61,11.08
1981,2,15,15.37,10.84
1981,2,16,15.62,11.33
1981,2,17,12.8,11.37
1981,2,18,12.37,10.2
1981,2,19,14.4,10.99
1981,2,20,11.69,9.13
1981,2,21,9.8,8.64
1981,2,22,13.16,9.64
1981,2,23,13.64,12.05
1981,2,24,14.95,11.53
1981,2,25,13.58,12.01
1981,2,26,14.04,11.49
1981,2,27,15.62,12.97
1981,2,28,17.08,14.48
1981,3,1,16.59,14.31
1981,3,2,15.37,13.37
1981,3,3,15.64,12.55
1981,3,4,14.31,12.91
1981,3,5,15.73,12.41
1981,3,6,14.95,12.95
1981,3,7,16.12,13.3
1981,3,8,17.5,13.33
1981,3,9,16.27,14.09
1981,3,10,16.51,13.52
1981,3,11,17.42,14.83
1981,3,12,18.18,16.25
1981,3,13,16.89,14.84
1981,3,14,17.76,14.5
1981,3,15,15.94,13.59
1981,3,16,15.04,12.24
1981,3,17,13.14,11.47
1981,3,18,13.36,11.65
1981,3,19,15.88,12.23
1981,3,20,16.91,13.83
1981,3,21,16.36,13.33
1981,3,22,16.83,13.72
1981,3,23,16.98,14.71
1981,3,24,18.16,14.48
1981,3,25,21.94,16.02
1981,3,26,18.3,15.69
1981,3,27,17.81,15.28
1981,3,28,18.2,15.41
1981,3,29,17.55,15.19
1981,3,30,15.08,14.43
1981,3,31,15.59,13.9
1981,4,1,16.54,14.68
1981,4,2,16.9,13.74
1981,4,3,14.98,13.72
1981,4,4,16.41,13.81
1981,4,5,16.48,13.22
1981,4,6,17.8,13.74
1981,4,7,20.12,14.8
1981,4,8,18.82,15.6
1981,4,9,19.07,15.65
1981,4,10,22.38,16.68
1981,4,11,18.47,15.93
1981,4,12,16.89,15.25
1981,4,13,17.3,15.15
1981,4,14,16.73,14.62
1981,4,15,16.87,14.49
1981,4,16,16.91,14.16
1981,4,17,17.06,14.33
1981,4,18,16.61,14.18
1981,4,19,17.35,14.01
1981,4,20,18.05,14.61
1981,4,21,16.81,14.91
1981,4,22,15.89,12.6
1981,4,23,15.4,10.48
1981,4,24,17.65,14.68
1981,4,25,17.05,15.0
1981,4,26,16.21,13.48
1981,4,27,16.98,12.69
1981,4,28,16.65,13.54
1981,4,29,17.87,15.05
1981,4,30,18.04,15.08
1981,5,1,15.27,14.26
1981,5,2,18.42,14.03
1981,5,3,17.71,14.74
1981,5,4,18.29,13.87
1981,5,5,17.76,15.76
1981,5,6,20.12,15.55
1981,5,7,20.41,16.34
1981,5,8,18.57,16.08
1981,5,9,17.74,15.7
1981,5,10,17.82,14.0
1981,5,11,17.97,16.02
1981,5,12,18.07,15.54
1981,5,13,18.79,15.03
1981,5,14,18.59,15.82
1981,5,15,17.52,15.62
1981,5,16,18.92,15.55
1981,5,17,19.9,16.68
1981,5,18,20.26,17.19
1981,5,19,21.83,17.42
1981,5,20,21.69,18.78
1981,5,21,19.42,17.66
1981,5,22,19.19,17.12
1981,5,23,19.94,16.81
1981,5,24,19.78,17.05
1981,5,25,22.23,18.61
1981,5,26,20.6,16.98
1981,5,27,19.83,16.51
1981,5,28,22.14,16.99
1981,5,29,23.83,18.9
1981,5,30,23.26,18.58
1981,5,31,22.09,18.8
1981,6,1,20.9,18.4
1981,6,2,21.37,17.96
1981,6,3,21.87,18.65
1981,6,4,21.34,18.22
1981,6,5,21.93,18.58
1981,6,6,22.53,18.9
1981,6,7,23.84,19.69
1981,6,8,25.38,20.5
1981,6,9,23.51,20.51
1981,6,10,23.44,19.99
1981,6,11,23.57,20.23
1981,6,12,24.15,20.34
1981,6,13,25.01,21.8
1981,6,14,24.05,21.22
1981,6,15,25.0,20.74
1981,6,16,25.53,21.9
1981,6,17,25.87,21.95
1981,6,18,23.58,20.65
1981,6,19,22.83,19.96
1981,6,20,23.56,20.29
1981,6,21,24.37,20.57
1981,6,22,23.7,20.46
1981,6,23,23.21,20.23
1981,6,24,21.68,19.73
1981,6,25,21.37,19.21
1981,6,26,23.0,19.01
1981,6,27,24.63,20.65
1981,6,28,22.56,19.8
1981,6,29,23.0,20.01
1981,6,30,24.37,20.93
1981,7,1,24.39,21.05
1981,7,2,24.85,21.08
1981,7,3,24.33,21.05
1981,7,4,23.62,20.9
1981,7,5,23.52,20.71
1981,7,6,25.18,20.16
1981,7,7,25.68,22.16
1981,7,8,28.55,22.56
1981,7,9,24.51,22.21
1981,7,10,24.85,21.58
1981,7,11,23.28,20.97
1981,7,12,23.73,20.88
1981,7,13,24.83,21.27
1981,7,14,24.98,21.55
1981,7,15,24.48,20.81
1981,7,16,25.55,20.84
1981,7,17,25.69,21.9
1981,7,18,24.4,21.3
1981,7,19,23.22,20.75
1981,7,20,22.87,20.07
1981,7,21,25.39,20.78
1981,7,22,25.55,21.62
1981,7,23,25.23,22.2
1981,7,24,25.71,22.18
1981,7,25,24.13,21.96
1981,7,26,24.24,21.58
1981,7,27,24.08,20.87
1981,7,28,25.65,21.25
1981,7,29,26.26,22.12
1981,7,30,28.64,23.51
1981,7,31,31.97,24.29
1981,8,1,27.35,23.71
1981,8,2,26.13,23.29
1981,8,3,27.35,23.58
1981,8,4,27.48,23.28
1981,8,5,28.19,23.38
1981,8,6,27.73,23.96
1981,8,7,26.89,23.65
1981,8,8,26.87,24.19
1981,8,9,26.91,24.16
1981,8,10,26.18,23.83
1981,8,11,26.76,23.63
1981,8,12,27.22,24.2
1981,8,13,25.85,23.39
1981,8,14,26.01,22.8
1981,8,15,26.12,22.54
1981,8,16,25.61,22.76
1981,8,17,26.78,23.11
1981,8,18,27.35,23.68
1981,8,19,27.77,23.46
1981,8,20,27.92,24.08
1981,8,21,26.38,24.03
1981,8,22,27.22,23.24
1981,8,23,23.92,22.2
1981,8,24,24.99,22.48
1981,8,25,25.15,23.13
1981,8,26,24.34,22.63
1981,8,27,25.79,22.49
1981,8,28,25.6,22.3
1981,8,29,27.6,22.94
1981,8,30,26.48,23.35
1981,8,31,26.8,23.98
1981,9,1,26.21,24.03
1981,9,2,25.7,23.13
1981,9,3,25.83,22.68
1981,9,4,26.31,23.23
1981,9,5,25.92,22.8
1981,9,6,25.54,22.03
1981,9,7,25.79,22.23
1981,9,8,28.05,22.16
1981,9,9,29.58,24.06
1981,9,10,27.77,23.58
1981,9,11,27.2,23.82
1981,9,12,26.43,23.76
1981,9,13,26.19,23.1
1981,9,14,25.66,22.61
1981,9,15,26.19,22.93
1981,9,16,26.75,22.93
1981,9,17,26.31,23.59
1981,9,18,25.68,23.3
1981,9,19,26.4,23.17
1981,9,20,27.23,23.12
1981,9,21,27.83,24.02
1981,9,22,27.02,23.96
1981,9,23,24.48,22.67
1981,9,24,24.24,22.3
1981,9,25,24.78,21.43
1981,9,26,25.67,22.42
1981,9,27,23.35,21.23
1981,9,28,22.83,20.74
1981,9,29,23.01,20.11
1981,9,30,23.17,19.12
1981,10,1,25.21,21.12
1981,10,2,23.83,20.9
1981,10,3,24.13,19.73
1981,10,4,25.56,20.89
1981,10,5,28.01,21.24
1981,10,6,25.33,21.96
1981,10,7,23.83,21.73
1981,10,8,25.34,21.62
1981,10,9,26.21,21.86
1981,10,10,22.83,21.03
1981,10,11,23.75,19.97
1981,10,12,24.54,20.54
1981,10,13,23.98,20.93
1981,10,14,24.88,20.94
1981,10,15,25.4,21.65
1981,10,16,24.37,20.4
1981,10,17,28.37,21.05
1981,10,18,23.09,20.55
1981,10,19,25.77,21.22
1981,10,20,22.36,20.84
1981,10,21,24.26,20.54
1981,10,22,20.5,18.93
1981,10,23,19.58,18.19
1981,10,24,20.55,17.73
