YEAR,MO,DY,WS10M_MAX,WS10M_MIN,WD10M
1981,1,2,5.69,0.55,213.0
1981,1,3,5.73,2.34,260.5
1981,1,4,9.77,5.34,264.0
1981,1,5,8.81,3.09,195.31
1981,1,6,6.28,0.81,178.62
1981,1,7,8.2,3.45,214.69
1981,1,8,9.8,7.02,18.38
1981,1,9,7.13,1.91,65.94
1981,1,10,5.55,1.53,241.81
1981,1,11,10.66,5.73,215.0
1981,1,12,8.64,3.16,247.06
1981,1,13,12.97,4.87,219.88
1981,1,14,9.95,5.64,165.75
1981,1,15,16.3,9.57,266.94
1981,1,16,13.19,5.16,274.38
1981,1,17,8.05,5.51,264.31
1981,1,18,6.51,4.71,293.75
1981,1,19,5.51,4.02,272.88
1981,1,20,12.91,5.77,267.19
1981,1,21,9.77,3.62,53.5
1981,1,22,6.5,3.98,221.06
1981,1,23,6.09,3.77,26.69
1981,1,24,4.48,0.78,108.12
1981,1,25,4.3,1.7,129.5
1981,1,26,4.04,0.15,177.19
1981,1,27,3.37,1.18,313.06
1981,1,28,3.6,0.7,295.62
1981,1,29,4.76,2.95,111.0
1981,1,30,5.08,2.61,72.25
1981,1,31,3.47,1.46,30.62
1981,2,1,3.31,0.43,146.5
1981,2,2,2.74,0.67,128.38
1981,2,3,7.96,0.95,264.56
1981,2,4,11.46,8.42,245.81
1981,2,5,12.09,6.17,305.38
1981,2,6,6.71,1.91,243.75
1981,2,7,5.13,0.17,137.19
1981,2,8,5.7,2.09,105.31
1981,2,9,5.56,1.44,227.44
1981,2,10,5.21,1.2,200.44
1981,2,11,6.07,1.31,242.25
1981,2,12,10.12,2.74,70.31
1981,2,13,8.28,2.75,122.44
1981,2,14,6.54,3.22,44.75
1981,2,15,7.54,4.14,101.81
1981,2,16,8.06,0.58,112.38
1981,2,17,10.42,4.16,178.0
1981,2,18,7.4,3.95,280.5
1981,2,19,8.88,6.55,250.88
1981,2,20,7.15,4.35,308.0
1981,2,21,7.3,5.54,325.81
1981,2,22,8.81,5.94,267.75
1981,2,23,7.42,0.85,289.69
1981,2,24,5.23,1.91,256.19
1981,2,25,3.52,1.34,209.5
1981,2,26,5.4,1.23,96.19
1981,2,27,3.39,0.6,203.5
1981,2,28,6.88,1.62,246.06
1981,3,1,4.8,0.7,239.12
1981,3,2,3.93,1.29,262.88
1981,3,3,5.44,3.09,247.06
1981,3,4,4.8,1.66,206.19
1981,3,5,5.45,1.83,97.75
1981,3,6,4.39,0.32,236.31
1981,3,7,5.77,0.15,134.19
1981,3,8,4.29,0.05,177.0
1981,3,9,3.36,0.59,143.5
1981,3,10,2.39,0.57,186.88
1981,3,11,3.44,0.77,232.69
1981,3,12,6.69,3.01,248.25
1981,3,13,7.73,0.46,256.75
1981,3,14,4.56,0.6,146.69
1981,3,15,4.33,1.05,193.94
1981,3,16,5.34,1.26,90.31
1981,3,17,6.18,3.56,131.81
1981,3,18,9.81,4.76,301.31
1981,3,19,7.77,0.27,155.81
1981,3,20,6.27,0.59,184.31
1981,3,21,8.8,4.82,246.25
1981,3,22,10.64,6.59,247.62
1981,3,23,8.25,2.91,254.94
1981,3,24,5.46,1.45,199.75
1981,3,25,3.43,0.95,140.62
1981,3,26,6.44,1.67,255.94
1981,3,27,4.13,0.3,139.62
1981,3,28,4.03,0.8,223.81
1981,3,29,7.14,1.81,245.81
1981,3,30,8.23,4.14,263.19
1981,3,31,12.1,8.02,286.56
1981,4,1,11.02,3.55,273.94
1981,4,2,7.35,1.27,153.31
1981,4,3,4.88,1.28,285.62
1981,4,4,6.0,3.16,278.62
1981,4,5,5.2,1.68,185.0
1981,4,6,4.53,0.45,154.12
1981,4,7,6.31,0.3,118.75
1981,4,8,6.27,0.54,170.25
1981,4,9,6.59,0.61,127.69
1981,4,10,8.8,1.69,167.56
1981,4,11,8.05,0.99,216.69
1981,4,12,4.66,0.9,132.25
1981,4,13,5.08,0.35,306.44
1981,4,14,5.35,0.82,237.94
1981,4,15,7.96,1.3,93.0
1981,4,16,13.66,4.11,239.38
1981,4,17,6.77,5.16,262.31
1981,4,18,5.06,1.46,218.75
1981,4,19,3.29,0.88,91.81
1981,4,20,3.67,0.52,215.5
1981,4,21,5.89,1.52,123.56
1981,4,22,8.74,4.24,275.19
1981,4,23,5.9,0.95,186.75
1981,4,24,9.29,0.73,258.5
1981,4,25,5.39,0.79,243.88
1981,4,26,9.86,3.8,275.88
1981,4,27,4.66,2.23,211.69
1981,4,28,10.17,1.6,47.56
1981,4,29,13.7,9.12,64.19
1981,4,30,12.64,1.03,66.12
1981,5,1,5.76,2.2,308.25
1981,5,2,9.44,4.05,248.06
1981,5,3,9.66,5.03,277.88
1981,5,4,9.68,3.53,250.69
1981,5,5,6.42,1.97,235.75
1981,5,6,9.71,3.63,88.81
1981,5,7,8.98,2.19,210.31
1981,5,8,5.58,0.22,192.31
1981,5,9,8.74,3.15,181.81
1981,5,10,9.81,5.05,257.19
1981,5,11,10.54,7.62,255.69
1981,5,12,9.64,1.72,255.62
1981,5,13,4.14,2.11,182.0
1981,5,14,8.41,1.3,65.75
1981,5,15,4.96,2.11,175.94
1981,5,16,4.89,2.09,238.31
1981,5,17,3.83,1.57,173.31
1981,5,18,7.51,0.38,101.81
1981,5,19,5.68,2.02,75.94
1981,5,20,5.38,0.87,197.0
1981,5,21,5.59,1.1,279.56
1981,5,22,7.26,2.28,145.44
1981,5,23,7.59,3.57,71.75
1981,5,24,4.16,0.31,153.06
1981,5,25,4.35,0.47,245.0
1981,5,26,9.56,1.13,253.44
1981,5,27,4.34,1.49,185.06
1981,5,28,9.64,4.07,74.31
1981,5,29,8.13,0.87,71.81
1981,5,30,9.87,1.32,58.94
1981,5,31,6.13,0.91,220.25
1981,6,1,4.63,3.77,272.38
1981,6,2,4.03,0.77,282.69
1981,6,3,7.43,4.0,258.19
1981,6,4,4.52,2.02,213.38
1981,6,5,7.06,3.18,73.06
1981,6,6,7.95,3.52,68.88
1981,6,7,7.2,3.11,66.12
1981,6,8,9.16,3.99,59.88
1981,6,9,4.68,1.4,256.31
1981,6,10,3.62,1.16,203.31
1981,6,11,6.98,2.05,61.5
1981,6,12,5.11,2.07,60.31
1981,6,13,6.16,0.25,91.44
1981,6,14,5.24,0.7,61.75
1981,6,15,5.91,1.98,57.06
1981,6,16,4.05,1.41,61.81
1981,6,17,7.23,0.84,65.56
1981,6,18,9.44,5.32,65.44
1981,6,19,8.56,5.57,71.44
1981,6,20,7.52,4.98,70.25
1981,6,21,7.3,4.91,67.88
1981,6,22,7.67,3.46,71.56
1981,6,23,9.3,5.23,66.81
1981,6,24,7.65,6.13,65.81
1981,6,25,6.62,0.66,95.56
1981,6,26,7.27,0.27,106.88
1981,6,27,8.1,0.86,243.12
1981,6,28,6.18,1.12,258.38
1981,6,29,11.19,3.19,69.06
1981,6,30,11.0,8.8,59.44
1981,7,1,9.05,4.52,56.94
1981,7,2,7.6,1.26,191.88
1981,7,3,5.41,1.16,277.75
1981,7,4,8.06,1.12,92.56
1981,7,5,6.8,4.96,66.44
1981,7,6,10.84,4.55,75.0
1981,7,7,8.9,3.52,63.94
1981,7,8,7.32,0.25,126.69
1981,7,9,6.83,0.29,257.44
1981,7,10,7.47,2.92,257.56
1981,7,11,5.52,2.56,100.38
1981,7,12,6.88,2.78,66.25
1981,7,13,7.03,3.26,76.06
1981,7,14,9.21,4.49,72.5
1981,7,15,8.23,4.87,74.5
1981,7,16,9.82,4.1,71.75
1981,7,17,6.59,1.23,58.25
1981,7,18,6.81,1.12,217.88
1981,7,19,5.71,4.23,58.06
1981,7,20,8.66,4.48,76.0
1981,7,21,10.46,5.18,79.75
1981,7,22,8.05,3.91,58.06
1981,7,23,4.01,0.73,154.25
1981,7,24,5.59,0.3,59.38
1981,7,25,10.08,5.07,62.38
1981,7,26,9.83,7.84,64.81
1981,7,27,8.47,5.12,72.31
1981,7,28,6.6,3.34,85.75
1981,7,29,6.93,3.27,85.31
1981,7,30,8.22,3.12,85.62
1981,7,31,5.51,1.14,91.62
1981,8,1,5.52,0.45,253.19
1981,8,2,7.77,0.36,77.19
1981,8,3,6.84,3.05,52.69
1981,8,4,6.29,3.33,56.69
1981,8,5,4.77,1.66,65.56
1981,8,6,4.35,0.1,280.44
1981,8,7,4.03,1.2,223.25
1981,8,8,2.83,1.31,149.44
1981,8,9,5.53,0.97,55.69
1981,8,10,6.05,3.58,61.38
1981,8,11,5.52,3.91,64.75
1981,8,12,7.17,1.98,71.38
1981,8,13,8.62,5.58,64.88
1981,8,14,9.32,6.01,66.81
1981,8,15,8.39,5.09,69.06
1981,8,16,4.97,2.84,55.88
1981,8,17,3.66,0.4,130.19
1981,8,18,4.24,0.47,110.81
1981,8,19,4.04,0.52,153.12
1981,8,20,5.23,1.11,258.31
1981,8,21,4.46,1.1,256.38
1981,8,22,6.44,0.84,144.88
1981,8,23,5.14,2.2,241.81
1981,8,24,4.24,3.12,143.25
1981,8,25,6.56,3.17,36.69
1981,8,26,4.91,2.99,48.5
1981,8,27,7.32,3.15,74.12
1981,8,28,5.96,1.64,72.5
1981,8,29,6.16,2.45,74.56
1981,8,30,3.32,0.48,146.75
1981,8,31,4.63,1.79,180.56
1981,9,1,3.96,1.77,45.25
1981,9,2,4.35,0.15,97.94
1981,9,3,6.68,3.48,73.44
1981,9,4,7.52,4.42,76.75
1981,9,5,7.93,5.52,77.88
1981,9,6,6.73,4.4,90.5
1981,9,7,7.19,5.06,89.94
1981,9,8,8.51,3.8,90.44
1981,9,9,5.69,0.92,170.75
1981,9,10,5.28,1.48,257.62
1981,9,11,4.91,1.28,262.88
1981,9,12,3.41,1.63,190.62
1981,9,13,4.0,0.53,147.0
1981,9,14,5.08,0.75,73.88
1981,9,15,7.66,3.62,75.56
1981,9,16,8.43,5.02,72.81
1981,9,17,5.83,0.97,66.56
1981,9,18,6.85,0.23,203.38
1981,9,19,3.48,1.9,205.0
1981,9,20,5.34,1.09,102.44
1981,9,21,6.89,2.23,189.56
1981,9,22,7.01,0.76,134.19
1981,9,23,5.85,0.73,215.94
1981,9,24,4.91,1.27,242.25
1981,9,25,6.62,0.68,247.31
1981,9,26,8.05,2.53,239.69
1981,9,27,11.28,7.45,258.62
1981,9,28,10.48,5.27,291.25
1981,9,29,5.3,1.27,242.5
1981,9,30,4.77,0.59,98.5
1981,10,1,7.09,2.82,228.06
1981,10,2,10.31,7.2,262.81
1981,10,3,9.75,6.44,247.38
1981,10,4,7.14,2.96,192.0
1981,10,5,8.14,1.45,182.75
1981,10,6,5.39,2.53,245.06
1981,10,7,5.72,1.42,89.94
1981,10,8,7.05,4.09,72.06
1981,10,9,5.55,1.12,148.06
1981,10,10,3.65,1.82,232.0
1981,10,11,4.63,2.41,261.38
1981,10,12,5.23,1.23,250.06
1981,10,13,6.71,0.86,269.88
1981,10,14,5.84,0.55,124.62
1981,10,15,4.02,0.9,186.31
1981,10,16,4.63,0.19,87.62
1981,10,17,6.38,0.17,141.44
1981,10,18,5.34,0.85,247.12
1981,10,19,8.96,0.62,104.88
1981,10,20,4.81,0.97,101.88
1981,10,21,10.95,2.09,243.19
1981,10,22,7.84,2.23,290.44
1981,10,23,5.25,2.91,193.88
1981,10,24,7.73,4.48,70.25
1981,10,25,6.57,0.45,72.12
1981,10,26,12.67,3.6,279.62
1981,10,27,9.13,2.16,288.44
1981,10,28,6.68,0.66,132.94
1981,10,29,6.2,1.51,181.31
1981,10,30,3.0,0.67,223.5
1981,10,31,4.48,0.37,96.75
1981,11,1,5.62,2.91,88.06
1981,11,2,6.07,1.84,90.12
1981,11,3,4.54,1.18,73.88
1981,11,4,5.34,2.52,69.62
1981,11,5,5.75,2.05,71.44
1981,11,6,5.37,1.97,64.0
1981,11,7,5.14,0.72,194.56
1981,11,8,5.52,2.2,207.38
1981,11,9,6.99,3.12,68.69
1981,11,10,6.02,4.37,51.75
1981,11,11,5.42,2.98,59.0
1981,11,12,3.18,0.18,252.38
1981,11,13,6.8,0.34,134.56
1981,11,14,6.75,0.88,49.81
1981,11,15,5.87,0.2,127.0
1981,11,16,4.32,2.33,59.19
1981,11,17,6.18,3.7,96.62
1981,11,18,8.5,2.27,88.5
1981,11,19,7.2,2.08,106.5
1981,11,20,5.6,0.24,130.19
1981,11,21,7.92,1.89,111.62
1981,11,22,4.62,1.56,94.81
1981,11,23,4.92,2.17,189.69
1981,11,24,3.97,1.46,219.88
1981,11,25,5.18,0.98,279.0
1981,11,26,5.1,0.27,81.06
1981,11,27,3.64,0.43,139.44
1981,11,28,9.5,3.72,262.56
1981,11,29,8.36,2.81,214.19
1981,11,30,4.51,0.61,171.5
1981,12,1,8.05,4.66,257.69
1981,12,2,6.0,2.8,184.5
1981,12,3,9.85,5.98,16.94
1981,12,4,8.5,3.96,287.0
1981,12,5,10.76,4.99,274.19
1981,12,6,7.18,4.55,243.31
1981,12,7,6.36,3.86,252.94
